一个顶俩 yi'ge'ding'lia
大势所趋 da'shi'suo'qu
一席之地 yi'xi'zhi'di
齐心协力 qi'xin'xie'li
卷土重来 juan'tu'zhong'lai
切实可行 qie'shi'ke'xing
挺身而出 ting'shen'er'chu
难以置信 nan'yi'zhi'xin
耳目一新 er'mu'yi'xin
不遗余力 bu'yi'yu'li
有条不紊 you'tiao'bu'wen
有目共睹 you'mu'gong'du
相提并论 xiang'ti'bing'lun
轻而易举 qing'er'yi'ju
哭笑不得 ku'xiao'bu'de
乱七八糟 luan'qi'ba'zao
四面八方 si'mian'ba'fang
大街小巷 da'jie'xiao'xiang
比比皆是 bi'bi'jie'shi
顺理成章 shun'li'cheng'zhang
首当其冲 shou'dang'qi'chong
恍然大悟 huang'ran'da'wu
心甘情愿 xin'gan'qing'yuan
恰到好处 qia'dao'hao'chu
不顾一切 bu'gu'yi'qie
日新月异 ri'xin'yue'yi
竭尽全力 jie'jin'quan'li
百万富翁 bai'wan'fu'weng
精益求精 jing'yi'qiu'jing
津津乐道 jin'jin'le'dao
一帆风顺 yi'fan'feng'shun
扎扎实实 zha'zha'shi'shi
触目惊心 chu'mu'jing'xin
锦上添花 jin'shang'tian'hua
胡说八道 hu'shuo'ba'dao
微不足道 wei'bu'zu'dao
不正之风 bu'zheng'zhi'feng
措手不及 cuo'shou'bu'ji
肆无忌惮 si'wu'ji'dan
梦寐以求 meng'mei'yi'qiu
密密麻麻 mi'mi'ma'ma
错综复杂 cuo'zong'fu'za
炙手可热 zhi'shou'ke're
应有尽有 ying'you'jin'you
刻骨铭心 ke'gu'ming'xin
密不可分 mi'bu'ke'fen
下定决心 xia'ding'jue'xin
尽管如此 jin'guan'ru'ci
持之以恒 chi'zhi'yi'heng
吃苦耐劳 chi'ku'nai'lao
扑朔迷离 pu'shuo'mi'li
无与伦比 wu'yu'lun'bi
千家万户 qian'jia'wan'hu
清清楚楚 qing'qing'chu'chu
无可厚非 wu'ke'hou'fei
惊天动地 jing'tian'dong'di
屡见不鲜 lv'jian'bu'xian
功不可没 gong'bu'ke'mei
记忆犹新 ji'yi'you'xin
兴致勃勃 xing'zhi'bo'bo
恶性循环 e'xing'xun'huan
一针见血 yi'zhen'jian'xue
议事日程 yi'shi'ri'cheng
力所能及 li'suo'neng'ji
事半功倍 shi'ban'gong'bei
一塌糊涂 yi'ta'hu'tu
义不容辞 yi'bu'rong'ci
自强不息 zi'qiang'bu'xi
畅所欲言 chang'suo'yu'yan
一触即发 yi'chu'ji'fa
花花公子 hua'hua'gong'zi
未雨绸缪 wei'yu'chou'miao
潜移默化 qian'yi'mo'hua
异军突起 yi'jun'tu'qi
一无所知 yi'wu'suo'zhi
干干净净 gan'gan'jing'jing
形形色色 xing'xing'se'se
力不从心 li'bu'cong'xin
一动不动 yi'dong'bu'dong
默默无闻 mo'mo'wu'wen
与时俱进 yu'shi'ju'jin
匪夷所思 fei'yi'suo'si
鲜为人知 xian'wei'ren'zhi
耐人寻味 nai'ren'xun'wei
有所作为 you'suo'zuo'wei
自由自在 zi'you'zi'zai
自始至终 zi'shi'zhi'zhong
轩然大波 xuan'ran'da'bo
视而不见 shi'er'bu'jian
三位一体 san'wei'yi'ti
一无所有 yi'wu'suo'you
踏踏实实 ta'ta'shi'shi
一心一意 yi'xin'yi'yi
自以为是 zi'yi'wei'shi
焕然一新 huan'ran'yi'xin
令人满意 ling'ren'man'yi
刻不容缓 ke'bu'rong'huan
刮目相看 gua'mu'xiang'kan
无处不在 wu'chu'bu'zai
参差不齐 can'cha'bu'qi
所作所为 suo'zuo'suo'wei
半壁江山 ban'bi'jiang'shan
理直气壮 li'zhi'qi'zhuang
赞不绝口 zan'bu'jue'kou
跃跃欲试 yue'yue'yu'shi
高高在上 gao'gao'zai'shang
老老实实 lao'lao'shi'shi
轻轻松松 qing'qing'song'song
不亦乐乎 bu'yi'le'hu
在所难免 zai'suo'nan'mian
翻天覆地 fan'tian'fu'di
得心应手 de'xin'ying'shou
发扬光大 fa'yang'guang'da
久而久之 jiu'er'jiu'zhi
相辅相成 xiang'fu'xiang'cheng
不绝于耳 bu'jue'yu'er
受益匪浅 shou'yi'fei'qian
近在咫尺 jin'zai'zhi'chi
相得益彰 xiang'de'yi'zhang
无独有偶 wu'du'you'ou
卓有成效 zhuo'you'cheng'xiao
急功近利 ji'gong'jin'li
万无一失 wan'wu'yi'shi
惨不忍睹 can'bu'ren'du
自古以来 zi'gu'yi'lai
赏心悦目 shang'xin'yue'mu
游刃有余 you'ren'you'yu
不可多得 bu'ke'duo'de
自力更生 zi'li'geng'sheng
自上而下 zi'shang'er'xia
马不停蹄 ma'bu'ting'ti
扭亏为盈 niu'kui'wei'ying
爱不释手 ai'bu'shi'shou
义无反顾 yi'wu'fan'gu
罪魁祸首 zui'kui'huo'shou
独树一帜 du'shu'yi'zhi
尘埃落定 chen'ai'luo'ding
推波助澜 tui'bo'zhu'lan
耳熟能详 er'shu'neng'xiang
无动于衷 wu'dong'yu'zhong
榜上有名 bang'shang'you'ming
呼之欲出 hu'zhi'yu'chu
融为一体 rong'wei'yi'ti
心有余悸 xin'you'yu'ji
百分之百 bai'fen'zhi'bai
风云人物 feng'yun'ren'wu
一网打尽 yi'wang'da'jin
栩栩如生 xu'xu'ru'sheng
热火朝天 re'huo'chao'tian
时时刻刻 shi'shi'ke'ke
如出一辙 ru'chu'yi'zhe
忧心忡忡 you'xin'chong'chong
自我批评 zi'wo'pi'ping
众志成城 zhong'zhi'cheng'cheng
一丝不苟 yi'si'bu'gou
念念不忘 nian'nian'bu'wang
接二连三 jie'er'lian'san
不切实际 bu'qie'shi'ji
掉以轻心 diao'yi'qing'xin
蠢蠢欲动 chun'chun'yu'dong
难能可贵 nan'neng'ke'gui
琳琅满目 lin'lang'man'mu
多种多样 duo'zhong'duo'yang
排忧解难 pai'you'jie'nan
辛辛苦苦 xin'xin'ku'ku
深入浅出 shen'ru'qian'chu
安居乐业 an'ju'le'ye
喜怒哀乐 xi'nu'ai'le
针锋相对 zhen'feng'xiang'dui
一蹴而就 yi'cu'er'jiu
寥寥无几 liao'liao'wu'ji
与日俱增 yu'ri'ju'zeng
初来乍到 chu'lai'zha'dao
首屈一指 shou'qu'yi'zhi
大起大落 da'qi'da'luo
一年四季 yi'nian'si'ji
万事如意 wan'shi'ru'yi
情有独钟 qing'you'du'zhong
遥遥领先 yao'yao'ling'xian
横空出世 heng'kong'chu'shi
不堪设想 bu'kan'she'xiang
兴高采烈 xing'gao'cai'lie
独立自主 du'li'zi'zhu
志同道合 zhi'tong'dao'he
得不偿失 de'bu'chang'shi
物美价廉 wu'mei'jia'lian
足不出户 zu'bu'chu'hu
迷迷糊糊 mi'mi'hu'hu
立竿见影 li'gan'jian'ying
更新换代 geng'xin'huan'dai
衣食住行 yi'shi'zhu'xing
多愁善感 duo'chou'shan'gan
突飞猛进 tu'fei'meng'jin
勇往直前 yong'wang'zhi'qian
出谋划策 chu'mou'hua'ce
不复存在 bu'fu'cun'zai
一言不发 yi'yan'bu'fa
甜言蜜语 tian'yan'mi'yu
屈指可数 qu'zhi'ke'shu
如愿以偿 ru'yuan'yi'chang
公平交易 gong'ping'jiao'yi
束手无策 shu'shou'wu'ce
春暖花开 chun'nuan'hua'kai
别出心裁 bie'chu'xin'cai
有意无意 you'yi'wu'yi
图文并茂 tu'wen'bing'mao
兢兢业业 jing'jing'ye'ye
无所适从 wu'suo'shi'cong
望而却步 wang'er'que'bu
天涯海角 tian'ya'hai'jiao
一枝独秀 yi'zhi'du'xiu
脱口而出 tuo'kou'er'chu
以身作则 yi'shen'zuo'ze
昙花一现 tan'hua'yi'xian
崭露头角 zhan'lu'tou'jiao
大名鼎鼎 da'ming'ding'ding
争先恐后 zheng'xian'kong'hou
犹豫不决 you'yu'bu'jue
忍无可忍 ren'wu'ke'ren
面目全非 mian'mu'quan'fei
大相径庭 da'xiang'jing'ting
谈天说地 tan'tian'shuo'di
微乎其微 wei'hu'qi'wei
不相上下 bu'xiang'shang'xia
一视同仁 yi'shi'tong'ren
断断续续 duan'duan'xu'xu
根深蒂固 gen'shen'di'gu
不了了之 bu'le'le'zhi
意料之外 yi'liao'zhi'wai
咄咄逼人 duo'duo'bi'ren
不谋而合 bu'mou'er'he
优胜劣汰 you'sheng'lie'tai
咬牙切齿 yao'ya'qie'chi
人山人海 ren'shan'ren'hai
顺其自然 shun'qi'zi'ran
一天到晚 yi'tian'dao'wan
喜闻乐见 xi'wen'le'jian
世外桃源 shi'wai'tao'yuan
教书育人 jiao'shu'yu'ren
博大精深 bo'da'jing'shen
无缘无故 wu'yuan'wu'gu
热泪盈眶 re'lei'ying'kuang
无忧无虑 wu'you'wu'lv
无影无踪 wu'ying'wu'zong
叹为观止 tan'wei'guan'zhi
硬着头皮 ying'zhe'tou'pi
风起云涌 feng'qi'yun'yong
指日可待 zhi'ri'ke'dai
我行我素 wo'xing'wo'su
大张旗鼓 da'zhang'qi'gu
五颜六色 wu'yan'liu'se
总而言之 zong'er'yan'zhi
无微不至 wu'wei'bu'zhi
滔滔不绝 tao'tao'bu'jue
心想事成 xin'xiang'shi'cheng
更上一层楼 geng'shang'yi'ceng'lou
有声有色 you'sheng'you'se
一厢情愿 yi'xiang'qing'yuan
连锁反应 lian'suo'fan'ying
下落不明 xia'luo'bu'ming
与生俱来 yu'sheng'ju'lai
身体力行 shen'ti'li'xing
不择手段 bu'ze'shou'duan
心中有数 xin'zhong'you'shu
举世瞩目 ju'shi'zhu'mu
背道而驰 bei'dao'er'chi
一成不变 yi'cheng'bu'bian
顾名思义 gu'ming'si'yi
推陈出新 tui'chen'chu'xin
原汁原味 yuan'zhi'yuan'wei
土地改革 tu'di'gai'ge
供过于求 gong'guo'yu'qiu
捉襟见肘 zhuo'jin'jian'zhou
敲诈勒索 qiao'zha'lei'suo
乐此不疲 le'ci'bu'pi
习以为常 xi'yi'wei'chang
无所事事 wu'suo'shi'shi
水到渠成 shui'dao'qu'cheng
似曾相识 shi'ceng'xiang'shi
归根结底 gui'gen'jie'di
手忙脚乱 shou'mang'jiao'luan
脱胎换骨 tuo'tai'huan'gu
没完没了 mei'wan'mei'le
白手起家 bai'shou'qi'jia
阿弥陀佛 a'mi'tuo'fu
善解人意 shan'jie'ren'yi
源远流长 yuan'yuan'liu'zhang
有朝一日 you'chao'yi'ri
意味深长 yi'wei'shen'zhang
自下而上 zi'xia'er'shang
一点一滴 yi'dian'yi'di
别开生面 bie'kai'sheng'mian
若无其事 ruo'wu'qi'shi
接踵而至 jie'zhong'er'zhi
绝无仅有 jue'wu'jin'you
家常便饭 jia'chang'bian'fan
对症下药 dui'zheng'xia'yao
统筹兼顾 tong'chou'jian'gu
提心吊胆 ti'xin'diao'dan
蒸蒸日上 zheng'zheng'ri'shang
一波三折 yi'bo'san'zhe
适得其反 shi'de'qi'fan
天马行空 tian'ma'xing'kong
无家可归 wu'jia'ke'gui
跌宕起伏 die'dang'qi'fu
异口同声 yi'kou'tong'sheng
茶余饭后 cha'yu'fan'hou
标本兼治 biao'ben'jian'zhi
不屑一顾 bu'xie'yi'gu
信誓旦旦 xin'shi'dan'dan
不动声色 bu'dong'sheng'se
任重道远 ren'zhong'dao'yuan
酸甜苦辣 suan'tian'ku'la
迎刃而解 ying'ren'er'jie
别有用心 bie'you'yong'xin
直言不讳 zhi'yan'bu'hui
声势浩大 sheng'shi'hao'da
无济于事 wu'ji'yu'shi
别无选择 bie'wu'xuan'ze
热情洋溢 re'qing'yang'yi
实话实说 shi'hua'shi'shuo
依依不舍 yi'yi'bu'she
司空见惯 si'kong'jian'guan
风风雨雨 feng'feng'yu'yu
尽如人意 jin'ru'ren'yi
格格不入 ge'ge'bu'ru
耿耿于怀 geng'geng'yu'huai
大惊小怪 da'jing'xiao'guai
虎视眈眈 hu'shi'dan'dan
从天而降 cong'tian'er'jiang
玩忽职守 wan'hu'zhi'shou
浩浩荡荡 hao'hao'dang'dang
奋不顾身 fen'bu'gu'shen
后来居上 hou'lai'ju'shang
世界末日 shi'jie'mo'ri
有的放矢 you'de'fang'shi
岌岌可危 ji'ji'ke'wei
风口浪尖 feng'kou'lang'jian
百花齐放 bai'hua'qi'fang
漫不经心 man'bu'jing'xin
许许多多 xu'xu'duo'duo
必由之路 bi'you'zhi'lu
大打出手 da'da'chu'shou
了如指掌 le'ru'zhi'zhang
放在眼里 fang'zai'yan'li
一生一世 yi'sheng'yi'shi
土生土长 tu'sheng'tu'zhang
不足为奇 bu'zu'wei'qi
天长地久 tian'zhang'di'jiu
心满意足 xin'man'yi'zu
家家户户 jia'jia'hu'hu
文艺复兴 wen'yi'fu'xing
津津有味 jin'jin'you'wei
绞尽脑汁 jiao'jin'nao'zhi
长治久安 zhang'zhi'jiu'an
不可分割 bu'ke'fen'ge
出类拔萃 chu'lei'ba'cui
气喘吁吁 qi'chuan'xu'xu
别具一格 bie'ju'yi'ge
防不胜防 fang'bu'sheng'fang
欢聚一堂 huan'ju'yi'tang
大同小异 da'tong'xiao'yi
红红火火 hong'hong'huo'huo
摇身一变 yao'shen'yi'bian
大江南北 da'jiang'nan'bei
按部就班 an'bu'jiu'ban
聪明才智 cong'ming'cai'zhi
瞠目结舌 cheng'mu'jie'she
明目张胆 ming'mu'zhang'dan
蛛丝马迹 zhu'si'ma'ji
高潮迭起 gao'chao'die'qi
安然无恙 an'ran'wu'yang
意犹未尽 yi'you'wei'jin
由来已久 you'lai'yi'jiu
如日中天 ru'ri'zhong'tian
不厌其烦 bu'yan'qi'fan
简简单单 jian'jian'dan'dan
从头到尾 cong'tou'dao'wei
燃眉之急 ran'mei'zhi'ji
深思熟虑 shen'si'shu'lv
无所不能 wu'suo'bu'neng
千篇一律 qian'pian'yi'lv
量力而行 liang'li'er'xing
黄金时代 huang'jin'shi'dai
七嘴八舌 qi'zui'ba'she
精打细算 jing'da'xi'suan
心不在焉 xin'bu'zai'yan
四通八达 si'tong'ba'da
欢声笑语 huan'sheng'xiao'yu
初具规模 chu'ju'gui'mo
并肩作战 bing'jian'zuo'zhan
当仁不让 dang'ren'bu'rang
聚精会神 ju'jing'hui'shen
一清二楚 yi'qing'er'chu
有识之士 you'shi'zhi'shi
惊慌失措 jing'huang'shi'cuo
自欺欺人 zi'qi'qi'ren
滥用职权 lan'yong'zhi'quan
大千世界 da'qian'shi'jie
雨后春笋 yu'hou'chun'sun
历历在目 li'li'zai'mu
不计其数 bu'ji'qi'shu
油然而生 you'ran'er'sheng
风土人情 feng'tu'ren'qing
水泄不通 shui'xie'bu'tong
纷至沓来 fen'zhi'da'lai
货真价实 huo'zhen'jia'shi
势不可挡 shi'bu'ke'dang
停滞不前 ting'zhi'bu'qian
无关紧要 wu'guan'jin'yao
意气风发 yi'qi'feng'fa
天壤之别 tian'rang'zhi'bie
上上下下 shang'shang'xia'xia
国计民生 guo'ji'min'sheng
座无虚席 zuo'wu'xu'xi
日日夜夜 ri'ri'ye'ye
忐忑不安 tan'te'bu'an
溢于言表 yi'yu'yan'biao
数一数二 shu'yi'shu'er
轻描淡写 qing'miao'dan'xie
雪中送炭 xue'zhong'song'tan
合情合理 he'qing'he'li
销声匿迹 xiao'sheng'ni'ji
无声无息 wu'sheng'wu'xi
价廉物美 jia'lian'wu'mei
夜深人静 ye'shen'ren'jing
雄心勃勃 xiong'xin'bo'bo
百家争鸣 bai'jia'zheng'ming
一脉相承 yi'mai'xiang'cheng
可乘之机 ke'cheng'zhi'ji
千变万化 qian'bian'wan'hua
相依为命 xiang'yi'wei'ming
名胜古迹 ming'sheng'gu'ji
十全十美 shi'quan'shi'mei
良莠不齐 liang'you'bu'qi
遍地开花 bian'di'kai'hua
平易近人 ping'yi'jin'ren
初见成效 chu'jian'cheng'xiao
井然有序 jing'ran'you'xu
朝气蓬勃 chao'qi'peng'bo
心旷神怡 xin'kuang'shen'yi
多姿多彩 duo'zi'duo'cai
古今中外 gu'jin'zhong'wai
按捺不住 an'na'bu'zhu
铤而走险 ding'er'zou'xian
高高兴兴 gao'gao'xing'xing
既得利益 ji'de'li'yi
语重心长 yu'zhong'xin'zhang
拔地而起 ba'di'er'qi
举步维艰 ju'bu'wei'jian
一举两得 yi'ju'liang'de
差强人意 cha'qiang'ren'yi
荡然无存 dang'ran'wu'cun
屡禁不止 lv'jin'bu'zhi
无时无刻 wu'shi'wu'ke
不在话下 bu'zai'hua'xia
豁然开朗 huo'ran'kai'lang
水落石出 shui'luo'shi'chu
一气呵成 yi'qi'he'cheng
慷慨解囊 kang'kai'jie'nang
一鸣惊人 yi'ming'jing'ren
光明正大 guang'ming'zheng'da
事与愿违 shi'yu'yuan'wei
因人而异 yin'ren'er'yi
没心没肺 mei'xin'mei'fei
交相辉映 jiao'xiang'hui'ying
困难重重 kun'nan'zhong'zhong
先发制人 xian'fa'zhi'ren
五彩缤纷 wu'cai'bin'fen
脍炙人口 kuai'zhi'ren'kou
波澜壮阔 bo'lan'zhuangkuo'kuo
不可开交 bu'ke'kai'jiao
众说纷纭 zhong'shuo'fen'yun
身临其境 shen'lin'qi'jing
有惊无险 you'jing'wu'xian
二话不说 er'hua'bu'shuo
摇摇欲坠 yao'yao'yu'zhui
方兴未艾 fang'xing'wei'ai
熙熙攘攘 xi'xi'rang'rang
相差无几 xiang'cha'wu'ji
战战兢兢 zhan'zhan'jing'jing
跌跌撞撞 die'die'zhuangzhuang
'zhuang
生机勃勃 sheng'ji'bo'bo
起死回生 qi'si'hui'sheng
烟消云散 yan'xiao'yun'san
建功立业 jian'gong'li'ye
奄奄一息 yan'yan'yi'xi
泣不成声 qi'bu'cheng'sheng
皆大欢喜 jie'da'huan'xi
全神贯注 quan'shen'guan'zhu
大放异彩 da'fang'yi'cai
干净利落 gan'jing'li'luo
旗帜鲜明 qi'zhi'xian'ming
引人入胜 yin'ren'ru'sheng
欣欣向荣 xin'xin'xiang'rong
心平气和 xin'ping'qi'he
渐入佳境 jian'ru'jia'jing
一本正经 yi'ben'zheng'jing
感同身受 gan'tong'shen'shou
诸如此类 zhu'ru'ci'lei
幸灾乐祸 xing'zai'le'huo
身不由己 shen'bu'you'ji
千丝万缕 qian'si'wan'lv
万众一心 wan'zhong'yi'xin
冰天雪地 bing'tian'xue'di
失之交臂 shi'zhi'jiao'bi
何乐而不为 he'le'er'bu'wei
至高无上 zhi'gao'wu'shang
势均力敌 shi'jun'li'di
来来往往 lai'lai'wang'wang
欣喜若狂 xin'xi'ruo'kuang
无人问津 wu'ren'wen'jin
人满为患 ren'man'wei'huan
天经地义 tian'jing'di'yi
流连忘返 liu'lian'wang'fan
喜出望外 xi'chu'wang'wai
供认不讳 gong'ren'bu'hui
恼羞成怒 nao'xiu'cheng'nu
毛骨悚然 mao'gu'song'ran
隐隐约约 yin'yin'yue'yue
不可收拾 bu'ke'shou'shi
侃侃而谈 kan'kan'er'tan
恭喜发财 gong'xi'fa'cai
千辛万苦 qian'xin'wan'ku
大刀阔斧 da'dao'kuo'fu
曾几何时 ceng'ji'he'shi
归根到底 gui'gen'dao'di
德才兼备 de'cai'jian'bei
千载难逢 qian'zai'nan'feng
一朝一夕 yi'chao'yi'xi
置之不理 zhi'zhi'bu'li
若隐若现 ruo'yin'ruo'xian
争分夺秒 zheng'fen'duo'miao
不甘示弱 bu'gan'shi'ruo
不能自拔 bu'neng'zi'ba
出其不意 chu'qi'bu'yi
数不胜数 shu'bu'sheng'shu
心灰意冷 xin'hui'yi'leng
全军覆没 quan'jun'fu'mei
通力合作 tong'li'he'zuo
印象深刻 yin'xiang'shen'ke
勤工俭学 qin'gong'jian'xue
接踵而来 jie'zhong'er'lai
风平浪静 feng'ping'lang'jing
前车之鉴 qian'che'zhi'jian
左右为难 zuo'you'wei'nan
缺一不可 que'yi'bu'ke
异曲同工 yi'qu'tong'gong
不合时宜 bu'he'shi'yi
嘻嘻哈哈 xi'xi'ha'ha
梦想成真 meng'xiang'cheng'zhen
形而上学 xing'er'shang'xue
赔礼道歉 pei'li'dao'qian
志趣相投 zhi'qu'xiang'tou
千奇百怪 qian'qi'bai'guai
改头换面 gai'tou'huan'mian
后起之秀 hou'qi'zhi'xiu
风吹草动 feng'chui'cao'dong
令人瞩目 ling'ren'zhu'mu
偷工减料 tou'gong'jian'liao
尽职尽责 jin'zhi'jin'ze
审时度势 shen'shi'du'shi
为所欲为 wei'suo'yu'wei
目不暇接 mu'bu'xia'jie
手足无措 shou'zu'wu'cuo
疲惫不堪 pi'bei'bu'kan
随波逐流 sui'bo'zhu'liu
无中生有 wu'zhong'sheng'you
平平淡淡 ping'ping'dan'dan
悬而未决 xuan'er'wei'jue
字里行间 zi'li'xing'jian
学以致用 xue'yi'zhi'yong
喜气洋洋 xi'qi'yang'yang
气急败坏 qi'ji'bai'huai
和平共处 he'ping'gong'chu
举一反三 ju'yi'fan'san
平平安安 ping'ping'an'an
迫不得已 po'bu'de'yi
不堪一击 bu'kan'yi'ji
畅通无阻 chang'tong'wu'zu
胸有成竹 xiong'you'cheng'zhu
齐头并进 qi'tou'bing'jin
不翼而飞 bu'yi'er'fei
防患于未然 fang'huan'yu'wei'ran
人来人往 ren'lai'ren'wang
议论纷纷 yi'lun'fen'fen
错落有致 cuo'luo'you'zhi
目不转睛 mu'bu'zhuan'jing
双管齐下 shuangguan'guan'qi'xia
喃喃自语 nan'nan'zi'yu
男女老少 nan'nv'lao'shao
东山再起 dong'shan'zai'qi
直截了当 zhi'jie'le'dang
海阔天空 hai'kuo'tian'kong
以权谋私 yi'quan'mou'si
心急如焚 xin'ji'ru'fen
金字招牌 jin'zi'zhao'pai
反反复复 fan'fan'fu'fu
热血沸腾 re'xue'fei'teng
严阵以待 yan'zhen'yi'dai
手舞足蹈 shou'wu'zu'dao
无理取闹 wu'li'qu'nao
集思广益 ji'si'guang'yi
苦不堪言 ku'bu'kan'yan
可有可无 ke'you'ke'wu
赫赫有名 he'he'you'ming
杯水车薪 bei'shui'che'xin
震耳欲聋 zhen'er'yu'long
啼笑皆非 ti'xiao'jie'fei
酣畅淋漓 han'chang'lin'li
居高临下 ju'gao'lin'xia
水土不服 shui'tu'bu'fu
按兵不动 an'bing'bu'dong
恰恰相反 qia'qia'xiang'fan
一拍即合 yi'pai'ji'he
运筹帷幄 yun'chou'wei'wo
破口大骂 po'kou'da'ma
同舟共济 tong'zhou'gong'ji
秩序井然 zhi'xu'jing'ran
来龙去脉 lai'long'qu'mai
一丝不挂 yi'si'bu'gua
当家作主 dang'jia'zuo'zhu
支离破碎 zhi'li'po'sui
训练有素 xun'lian'you'su
立于不败之地 li'yu'bu'bai'zhi'di
斤斤计较 jin'jin'ji'jiao
瞬息万变 shun'xi'wan'bian
走投无路 zou'tou'wu'lu
一步之遥 yi'bu'zhi'yao
两极分化 liang'ji'fen'hua
欢欣鼓舞 huan'xin'gu'wu
无拘无束 wu'ju'wu'shu
游山玩水 you'shan'wan'shui
背水一战 bei'shui'yi'zhan
撕心裂肺 si'xin'lie'fei
始作俑者 shi'zuo'yong'zhe
三足鼎立 san'zu'ding'li
口口声声 kou'kou'sheng'sheng
每况愈下 mei'kuang'yu'xia
焦头烂额 jiao'tou'lan'e
摩拳擦掌 mo'quan'ca'zhang
千千万万 qian'qian'wan'wan
